from,to,weight,relationship
R,E,1,2
R,MM,3,2
R,D,2,2
R,C,1,1
MM,R,2,2
MM,C,1,2
MM,D,1,1
MM,E,0,1
E,R,0,2
E,MM,0,1
E,D,0,1
E,C,0,3
D,E,0,1
D,MM,0,1
D,C,0,3
D,R,2,3
C,R,1,1
C,E,2,3
C,MM,1,2
C,D,0,3
